id	content	sentiment
4644	feels not good at all	sadness
4645	Last day for seniors bye bff	sadness
4646	Off to work. My last day. Get to walk around and out-process. I am very happy to be one step closer to what I really want to do, but  2.	happiness
4647	@lynnisnotgay tsk baddie. imissmonkeh today	surprise
4648	Going To the dentist	worry
4649	25 hours and counting.	empty
4650	I'm scared to set the pw on my BB bc I might forget it &amp; end up losing all my data. But yet I have financial info on it. Catch 22	worry
4651	@DGNY I'm ready homie..actually ima be working	neutral
4652	@8short_stack8 mady were did u go?  truck did u run away?	worry
4653	just spent all day putting up a trampoline but is now too tired to use it...  it is very cool though!!	fun
4654	jake thomas looks so precious :'( i hate when they say &quot;there it is i see the white light&quot; in every ghost whisperer show	surprise
4655	@emily859 Glad to hear the weather's nice.  It's rained just about every day for the last five days.  Not fun for exploring	happiness
4656	@HilaryKennedy i would share mine. but i have no hair	sadness
4657	@Xanthetwirls I only saw urs by chance. Who else would have that name! Think I'll b missing 2nite too.  Thank god for YouTube.	happiness
4658	W4M: No clever headline, Sorry  (Salt Lake City) 29yr http://tinyurl.com/mpoghc	sadness
4659	@akomuzikera HAHAHAHAHAH I thought I was following you already..I don't know what happened. sorry ha?	worry
4660	@maya_banks &quot;Something must be wrong. Only found 17 July Harl/Sil books I wanted	worry
4661	@BrittanyHauff Jz local movie here. The title's virgin 2 :p actually i feel not so good. So tired n dizzy	worry
4662	sitting thinking how warm it is and wishing it wasnt so! Has so many things to sort out its driving me bonkers	worry
4663	@shopbatty  you may have to email the tech support ppl. that's odd.	neutral
4664	Happy Sammy is going 2 here 2morrow!! But unfortunatly I'm not gone be able 2 go 2 the club he performing @	sadness
4665	i hate my life big time its sooo poop gode i ould cry	worry
4666	Tweetiful people, I am sick.	hate
4667	just woke up, its laura's last full day here  Last night we watched embarrassing home movies	sadness
4668	@capitaln Um...no  We will most likely be inside a lot, maybe the skirt will work!	enthusiasm
4669	Charley horses in both legs all night. What the fuck?	worry
4670	Heading to the gym.  The group of guys that USED to go with me has all quit...well, except for Brandon.   Makes me terribly sad	sadness
4671	sinus congestion is making thinking straight difficult	worry
4672	@VVbrown It just sucks that I'm stuck in an office  but I have you at Selfridges to look forward too.	hate
4673	@jackiejewel ohh yeahh with the showcase he said his artist will be outta town  so keep me posted as to the next one	relief
4674	damn! got caught eating my Cadbury Temptations by the brother. Last 6 pieces gone  will get Bournville next time. u have to earn it!	worry
4675	@tarynantoniou where are you going tonight?!	worry
4676	Nothing like yoga to clear the mind and make you realize how crappy things really are	sadness
4677	@mhisham hahaha tempting! but nvm la. i'm quite a klutz.  i actually fare better with my hp cam LOL	fun
4678	chillin at home for the day yippee...wish @youngives was here to keep me company	happiness
4679	my 21month daughter's seperation anxiety is intense. it's killing me. i cant leave her sight without her breaking into an anxiety attack	neutral
4680	Damnation. I just woke up.	surprise
4681	@officialcharice Hey Charicee! How are u? Are you going to come to Italy again? please tell me yes	neutral
4682	Going to meet the new family I'm babysitting for... Wish I was still sleeeeping	worry
4683	I have myself barely 4 hrs of sleep and the Lord blessed me with what feels like 8, but it came with a sore throat  pumpin out this paper!	enthusiasm
4684	@Andy_Hawk @andy_sims works sucks without being able to stream KWOD	hate
4685	GAWD!. If only that dream actually happened last night....	sadness
4686	@TheCavalry I'm at work	neutral
4687	i hate feeling like this about him  i need a break away from everyone... as soon as exams are over i'm defo off to portsmouth for a bit	hate
4688	did U watch the spelling bee contest ? winner: Kavya Shivshankar ! Impressive performance - i had not even heared most of the words b4	fun
4689	last day working for Tend	sadness
4690	my ipod came back to me after visits to cali, china, and alaska...but its at home and im @ work...	sadness
4691	is *ugh* what a miserable looking day. 54 degrees. Where did summer go?	sadness
4692	spent all morning watching Eddie Izzard's Glorious! SO funny... realli shud hav studied thou...	sadness
4693	@beamatti Ayy.  Okayyy. It was nice seeing you kanina ! :&gt; I like your hair. :&gt;	surprise
4694	@vladalexa I have a Palm now. I would like an HTC HD, but it costs 3 times more than my phone	worry
4695	Grrr, I can't even practice Trumpet or vocals because my glands in my neck hurt too much! Guitar it is then.	worry
4696	is abit happier at the thought that Ashleigh &amp; Loocie with be here soonish, but sad to miss her S-ane  ;)	worry
4697	gutted!!! vodafone wont repair my faulty Samsung Omnia due to non existent water damage  grrrrr	sadness
4698	One load of washing put away, and another load on. Amazing how the house doesn't look any better for all my efforts	surprise
4699	I am never going to get these pictures taken	worry
4700	Just had another Army-provided root canal. Not fun. I'm starving and craving lunch at Paloma Blanca. That's a long way from here.	worry
4701	Just started raining in earnest... guess golf is off for today...	sadness
4702	&quot;yeah them men love them blowjobs&quot; -something you never want to hear your grandma say over breakfast talkin about charles barkley	surprise
4703	I woke up with a sore throat  Work tonight. Grad practice in the morning, hanging with family, then GRADUATING FROM HIGH SCHOOL	neutral
4704	It's Friday, it's payday...oh yeah, as a state employee I had 1/2 of 1 percent of my annual salary deducted from my paycheck	neutral
4705	@katismonster OMG are u still naked 1313 XDD omg i miss you so muuch	neutral
4706	i got all my hair cut off, it's almost above my ears	relief
4707	Its already hot outside...  thank goodness my car has amazing a.c!!! cyalater!!! off to work!!!	fun
4708	pff, Life sucks sometimes!	sadness
4709	http://tinyurl.com/nqudrt - Hurt my finger at work	sadness
4710	@crazycori713 I don't think I'm going camping	neutral
4711	Just got back from my first session at the gym with a PT. I'm sore allread	empty
4712	says ptour2 tom.  hello school again. shit! http://plurk.com/p/x15fh	surprise
4713	Currently 52ï¿½ in Msla, not a cloud in the sky, no humidity, gonna get into the 80s today, and I'm...working.	neutral
4714	totally overstressed ... going to work now ... just want the college work to go away ... i don't wanna fail	worry
4715	@Jackobeanz I'm blue.  In other news, you will love tonight's DC!	love
4716	I've got a headache	worry
4717	@SuFiSammy praying you get better soon you sweet one , sorry your still not well	worry
4718	EVIL CREDIT CARD COMPANIES!!  God, and just when I was starting to *build* my credit again - I get this stupid 'ding' from them!	hate
4719	http://twitpic.com/61ov1 - @martinhiggins  i ahte stress, its supposed to be friday! it makes me wanna cry	sadness
4720	Oh, great.  I suppose it was inevitable I'd get spammed on Twitter, too.	neutral
4721	Ahh, I forgot about the test today	worry
4722	Gahh ! This weather sucksss !	hate
4723	I really like how the weather widget on imac and iphone always predict different weather...not!	hate
4724	i saw some lovely skinny jeans today for ï¿½3 at a charity shop, but they were just a little bit tight on my thighs.  ahhh so annoying	love
4725	@lilabiem awww  don't do this to meee haha now you're gonna make me saddd	sadness
4726	@ryanmtedder He is the truth! But what about Maxwell? You can't forget the future father of my children!	hate
4727	trying to win tickets! com'on dc101...	fun
4728	American trade journalists ask PRs 'how are you' almost 100% of the time; UK journalists? Erm...not so much   How come?	neutral
4729	My sunburn is peeling,	worry
4730	It's sooo hot 2day!! Put a ton of sunblock on before jogging; still think my face burnt though!	worry
4731	@mrpandora I got a headache because of all the hard work today, still not ready, with a #Heineken trying to finished up	neutral
4732	@_NewAmerykah_ im alllllllllllllllllllllllllllll about that... a nigga woke up late... didnt get my breakfast (wakenbake)	neutral
4733	Ahhhh I think the rain is gonna begin shortly	worry
4734	@Chilosa09 Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there	neutral
4735	Muffins: Muffins are delicious, Muffins are neat, I have no more muffins to eat.	love
4736	You know that 'rule' that says always point the knife away from you? Just  learned my lesson on that one! Straight through my finger!	sadness
4737	I think my cheap sunglasses are falling apart. Oh well	sadness
4738	urgh, i really hate that medicine	hate
4739	Wants somebody to cheer her up	worry
4740	I guess you didn't hear the grumbles when kindle came out with no cover. My purse +eink screen = shortcut to broken screen  @COOLERebook	worry
4741	getting bored of walking up and down the stairs	sadness
4742	@CrAppleton for sure....I still got 2 hrs till I will be home at the fridge  but then BEER BEER BEER lol	neutral
4743	@Juicytots you getting a ton of spam mail into your inbox?? I am too.... driving me insane!!	sadness
4744	I'm officially on holiday! A week in Center Parcs, no internets  bye my peeps, see you when I return...	sadness
4745	@ozzblair  hugs for the bad day you're having?	sadness
4746	i should be &quot;bus stalking&quot; right now..i soo wish i were still meeting @jordanknight today	neutral
4747	I CAME BACK THERE WAS A CAT OUT THERE	neutral
4748	On the way home.	neutral
4749	@aristocat123 I should get out more often!	neutral
4750	NO! Keyboard Cat is/has been dead for YEARS! Play yourself off, Keyboard Cat.	sadness
4751	'Wake Up Darling'	worry
4752	@unloveablesteve Morrissey cancelled on me	neutral
4753	@runsforcupcakes that sounds yummy.  Does it take quite a few almonds to get the amount you need?  Nuts are expensive.	worry
4754	I'm feeling very alone at the moment   Mh..I'm going to leave now.	sadness
4755	Woke up and watched Jon and Kate plus eight. I tried to pretend like they were still a normail family	neutral
4756	We'll watch &amp; wait &amp; tomorrow I can take anyone who needs to the dr w/o having to take everyone else....N's cheeks &amp; ears red as my hair	neutral
4757	@swingsandpretty tip 2 : at the very least make sure the bottle top is on securely and tightly...	surprise
4758	im gonna fail this test miserably in history	sadness
4759	Back to reality... boo	sadness
4760	Really nervous about my animal rights presentation next period	worry
4761	Fritz Roderick Von Hughes is sad to be in the kennel all day  http://apps.facebook.com/dogbook/profile/view/6882699	worry
4762	@kiitzyy I think so hahah geez lady 3 hours ago?? Go to bed!! Lack of sleep is bad for your skin!	happiness
4763	#asylm yay registered but lost all my friends	sadness
4764	Still sick at home	worry
4765	good news: my flat is great at regulating temps. in the heat. bad news: its sodding lovely outside and i'm working!	sadness
4766	All the people I talk to are GONE	sadness
4767	Went to bed at 12:20 last night. Woke up around 10:45. Holy crap.  I need to get up EARLIER. Like 8. Wish I could get up at 6 every day.	worry
4768	The CIA said &quot;the grass is always greener on the other side&quot; alongside overconfident January!	neutral
4769	I can't believe tour is almost over	worry
4770	@1outside a jo; tak nic no	sadness
4771	@CajoleJuice Likewise. But I don't know anyone who uses gtalk and the likes so I'm not holding much hope	worry
4772	@woodywoodford unfortunately I didn't leave the house in time	sadness
4773	Overslept. While the extra sleep was nice, it does play havoc with the days to-do list.	sadness
4774	Getting my phone taken away	sadness
4775	@chaselisbon we tried to DM you but your not following us	neutral
4776	deck building buddy missing in action	neutral
4777	My cat has been missing for 2 days. I am freaking out.	sadness
4778	@actionscripter I tried to translate your tweet using google translation service, but it just spat it out back out at me	worry
4779	Reading and taking notes but undertanding none of it  ... HELP!	worry
4780	all my worms either escaped or died  bums!	sadness
4781	Dam only 5 votes  not gonna win anything now	sadness
4782	feels so used I hate guys grrrr	hate
4783	real stressed	worry
4784	@Dojie oooh lush. i cant sunbathe i burn way to easily even with sun cream  @sofisticat im great thanks lovely sunny day no?	empty
4785	My twitterberry wont work on my friends and me	worry
4786	@erinealberty that sucks!	hate
4787	Oh man sold out  had to step away from my desk for 10 min! @theaskanison you were right	surprise
4788	@maltpress sorry - didnt mean to   hope you can think positivly about being 80 and looking back on 30!	worry
4789	I'm sick!  it sucks! IM me! ohbabayy33	sadness
4790	@PirateEric When I read that, my first thought was using Cast&lt;T&gt;() as a status symbol	surprise
4791	@luzy_artillero Hahaha. Sana someone's selling the full version of &quot;Coding Workshop Photo Recovery Wizard&quot; CD! Demo mode lang eh	surprise
4792	I just found out that one of my friends, someone who I use to talk to all the time who has disappeared is blocking me from Flickr.	surprise
4793	Just Finished My English Final...Just One Step Closer To The End.	sadness
4794	Inspection went fine ... they like the house woopee. Would just be nice if it had been this morning so I could have done stuffs today	relief
4795	Today is going to be a long day.	neutral
4796	@mimisaurusrex i know... I don't want to be left in our home by myself during the weekend...	neutral
4797	@ZomberellaMcFox not a fan	hate
4798	@tinytim2701 kinda, my housemates were a bit frantic as I appeared to have every fork we own hiding in my room, need to revise now	worry
4799	My leg broke, now I am waiting untile i can go again	sadness
4800	@mockingbird_ I'm good thanks! Did you have a good drive? Careful with your blackberry, we don't want you getting screamed at	love
4801	Kyles going out of town this weekend  play time wif my fwiends. Rawrrr.	hate
4802	@forgetmaine there's a 9 year waiting list to get an appointment.	sadness
4803	My throat hurts so bad that i dont even want to swallow my own spit.       And i officially cant talk now....	worry
4804	@PMSexgeek ugh something is wrong, suddenly I feel extremely flushed and shaky and I broke out in a sweat. Idk what's wrong.	worry
4805	Lexy add me here..... I can't locate your handle for whatever reason	neutral
4806	The weather is SO nice! And there were so many hot guys in town, I felt like a kid in a candy store. Except all the candies are straight	happiness
4807	@DrRonVonDoom i couldn't fucking sleep today either. it was hard for me to stay asleep for some reason	worry
4808	Bummer... I missed Taylor Swift on the Today show!  Those were my only plans for the day!!!	sadness
4809	finally got home. ohhh my aching feet!  but am happy to finally watch the giro!!!	neutral
4810	should not have waled past the Quad! I want to be outside having fun.	sadness
4811	@_Janet_ ouch, I hate it when favourite items of clothing get ruined.	worry
4812	@putitonmyvisa haha nice! I heard it's a sweet hotel. On another note, not a good game last night	happiness
4813	My storm is acting up  ....Excited for the discussion session regarding Social Media. Scott Lake, CEO of ThinkSM, will be attending.	happiness
4814	@principalspage Grrr. We don't finish until July 3rd.	hate
4815	@peterfacinelli You didn't answer my riddle  Party pooper lol. Jokes Joyce  it was a good one tho haha. Hav a gr8 weekend!	happiness
4816	hearing the birds chirp makes me think its nice outside...well its not  rain rain go away!!!	fun
4817	is thinking today will be a longg day!	worry
4818	can't gauge the time of day in my office anymore... It's worse than a friggin' casino in here... no waitresses, smoking, or booze	hate
4819	@chevale my internet is being a ***** again!!! wtf. i think im gonna sleep afterward. internet is driving me crazyyy!	hate
4820	@HBSExecEd that was the class I was keen on. Guess I have to wait for next summer. bummer.	sadness
4821	14 pages left to read, then it will be time to start all over again, and again.  Off to Lunch Duty...love 6th graders	worry
4822	@blankdeluxe  no i havent got mine yet, did u get yours?	worry
4823	Back in Glasgow, stuck in traffic on the M8	hate
4824	@Visadharah I'm still at Disney (just trained at Soarin), Rose is the same, we applied for an apartment last night, and Eric lost his job	sadness
4825	@BrittanyASnow omgsh i know  i'm dealing with that rite now. its no fun!	hate
4826	Wave looks interesting. http://bit.ly/pvYYh  If we are going to live our lives so connected might as well be easy right? Google owns us.	neutral
4827	@yerex i want to adopt him	worry
4828	Sooo tell me how I lost followerzzz	worry
4829	@ITTO88 @walls6 well its pouring here. Rly rly wet	neutral
4830	@jessicamloring Haha! I can't a good vid of it on tubey,you thugh	fun
4831	@ispeed72 Could've said hi. We're off down south tho	worry
4832	@ Ahhhhh FML! Classic Crime is sold out!	neutral
4833	@SeanLights Nooooo!!!!! Dont You Dare! Lol =( Im Gonna Cry  I &lt;3 Your Hair!	sadness
4834	my tummy hurts  i blame last night's chinese food.	worry
4835	@DsBabyGirl I know. I want it to come bec I'm excited, but then I don't bec it's gonna go by so fast &amp; then it will be over	worry
4836	@RyanSeacrest Im feeling sad, not likeing my new haircut	worry
4837	@RiceBunny cause my eyelids are not deep set.  thanks it would help me a lot.	worry
4838	@scorpio1641 I have no idea  I'm watching Rafa too. Running to the comp ever to often to check live score. he's 3-2 down in the third.	worry
4839	chillin in Durban. playing with a new puppy. she has no name yet. but she's not for me  present for my uncle	neutral
4840	@Keitakeita girl you stay inviting me but not doing a follow-up hahaha... no phone call to check up on me	worry
4841	On our way to Disneyland... Without Retsi	neutral
4842	@ELIZABETHANNN I'm sorryyyyyy  I'll be home as fast as possible where we meeting at?	worry
4843	i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!	enthusiasm
4844	another rainy day	sadness
4845	@TheCubs Cubbies at an even .500. So what else is new?  No matter: Beat dem Bums! #chicago #baseball	sadness
4846	@evonmichelle It's my mum's. LOL They haven't got me anything yet.  Sad, Sad... haha	sadness
4847	Might have broken text messages.	neutral
4848	@Wizardess I got a coupon, but I couldn't register it because you have to be in the US	sadness
4849	GM TWITS! Headed to the BX to clean up the new Apartment! But kinda sad cuz I dreamed about him last night	worry
4850	@happylovesChuck I know. But the second problem being: he doesn't REALLY exist still applies. Shame	worry
4851	spray tan = fail on legs and feet. I've been scrubbing them and feet look better, but they looked awful this morning  Everywhere else = ok	relief
4852	horrible dreams last night  also had one in which i was employed...sigh, if only.	sadness
4853	One lactose pill is not enough for coffee....oopse	neutral
4854	back to my office.  the fire alarm went off due to someone burnt food in microwave	surprise
4855	@SamWilson1 - sigh	relief
4856	Sorry if I'm unsociable I'm loading up stock in the shop, mums making me	sadness
4857	@jesssicababesss  how unreall  http://twitpic.com/66nvm	fun
4858	Traffic jams are rubbish. Anyone know what's going on on the A48 between Cowbridge and Cardiff? We're stuck both directions	sadness
4859	@yeahgiancarlo Can't  No money to spend.	worry
4860	Playing Monopoly Jr. with the lil one.. Cheating isn't as much fun when the other person has absolutely no idea	neutral
4861	getting ready for work	neutral
4862	Twitter seriously, SERIOUSLY dropped the ball here with my RoxieRavenclaw account. I'm so mad and sad about this.	surprise
4863	moving today.... sad day	worry
4864	Getting ready for week  Its too nice today to be stuck inside working!	hate
4865	I need some plugs. for real. my ears want to stretch. and I have no money	worry
4866	@philleasfogg	neutral
4867	I hate going to the dr  just wasted 1 hour and a half for them to say my back pain is probly depression or stress. Duhh! I need it fixed	hate
4868	Its hard to get a good Google listing for wills in Wiltshire because one of the local MPs is called Wills	neutral
4869	trying to finish my ass-ignment.please god help me to finish it	boredom
4870	@MeanMillies boo	boredom
4871	thinking about having lunch soon, but we have no food in	worry
4872	I just made myself a wonderful breakfast!!!!!!!! Now I have to get ready to workout	love
4873	is thinking about a career change	neutral
4874	Men it's far too sunny	neutral
4875	@energeticspace If I can run by then, I will join you...miss running	worry
4876	another gorgeous day here in Pau...will be home this time in 2 weeks though, such a depressing thought!	sadness
4877	It's 11:05 and I'm already on my lunch break	surprise
4878	Good Morning Folks 13 more days to go! and sadly 2 more days of the Giro  but that means the Tour is not too far away	sadness
4879	nyc placements have started to come out, but it looks like upgrades might have to wait yet another two weeks for placements! dreadfully	worry
4880	Oh, my God..... The end of the first course))) don't believe in it) but, yeh, so many exams  La-la-la// everything is wonderful!!!!!!!!!!	relief
4881	Drop the girl she's only got it for your heart she's sure to leave broke and bleeding, and you know she'll turn her back on you.  I lo ...	sadness
4882	@billbathgate ....any  sorry wahh!! lub u toooo ;)	sadness
4883	@LuvinMeSomeD That's how it was for me in March...it came sooo slow..then it was over in a heartbeat	sadness
4884	so im dogsitting at my friends house and her cleaning lady came this morning. and she told me i looked like i was 18.  man. growing younge	surprise
4885	Finally back from the stupid holiday ! Missing the fit bar men though	sadness
4886	need to go to work soonish but i really dont want to  also trying to save money... life is fab (not)	worry
4887	Moving office tomorrow after 3 years at this one, its a sad day	worry
4888	Last time we'll get tacos like this.	happiness
4889	@littlelaughalot nice! it's days like today I wish we had a garden	happiness
4890	my lord! this day is going to slow	worry
4891	@eboogiee smh Your whin with that comment	anger
4892	I may have to take a trip in to the loft to get the fans down...its like being in spain!! Except without a pool to cool down in  xxxxxxxx	neutral
4893	@GavinHolt i wish i was outside	sadness
4894	stayn @ home from school. sick. doc says I have bronchitis	worry
4895	no Yoga tonight  but i am going to try Pilates. lets see how many un-used muscles i can discover	neutral
4896	Going to see Star Trek (again) tomorrow night but this time in full IMAX glory!  I hope my motion sickness doesn't get the better of me!	worry
4897	Please vote for my husband Jorge at the All Star Game @ http://bit.ly/TGxzu! I can't vote anymore	neutral
4898	ooh@LuLu_Bell whatchu goin as? Monsterpalooza's this weekend for us.  on the no Ink, i won't be a stressed contestant this year! Miss U X0	sadness
4899	@bimbler I have too much work to drink now.   but I do love afternoons in the pub.	sadness
4900	i got ill and tomorrow iï¿½ve got birthday...	sadness
4901	FML. . .i have the worst paper cut on my knuckle from all the papers i was handling. i hat this damn research paper!!!	hate
4902	@tommcfly Tom! @buonotomato and I were wondering if you'd do a tour in Asia, specifically the Philippines. Any chance you will soon?	fun
4903	@jimmycarr I've been sat sunbathing in the bombed out church all day and left and missed you	sadness
4904	@inrsoul argh. Interested. Time maybe can't go. Maybe.	fun
4905	watching chicago. @bambamonline honeyyyy im with you I miss me some hey arnold! and wild thornberrys	sadness
4906	Congrats to ALL Graduates! Such a Beautiful thing &amp; Big DEAL! I jus wish i cudve attended My lil man Ryan kdg graduation  Feel verY SAD!	sadness
4907	Am hating my life at the moment. There's only so many NOs my delicate little mind can take	worry
4908	@MissKarley How did we just get paid and still be broke as hell?! No shopping spree for me today	neutral
4909	NEEDS an external hard drive. I don't have enough money   &lt; I don't wanna give up my music! &gt;	worry
4910	@SoSimplyMe. I'm sitting here with this girl that urk my nerves damm yo	sadness
4911	@krissylin you're a busy Bob, I'm jealous. I'm not sure I can even afford to go meet John de Lancie and Leonard Nimoy	worry
4912	i HATE U.S. history	hate
4913	well,only one week left of my holidays,sad sad	sadness
4914	@Twyst The devil you say!  I've been waiting for the Black Widow in movies and now she won't be awesome at all.	surprise
4915	@kirstiealley It'd be nice but soon we'll have to Pay to Tweet	happiness
4916	@RetroRewind OMG and you have to do this when I'm at work and can't listen	neutral
4917	great. my mom is pissed at me, so she sent me to the asbestos filled backroom	worry
4918	@AndresHenriquez thanks for the #ff shoutout -you stuck an extra e in my username tho, so the link doesn't work	sadness
4919	@Td_keepsitreal haha awe. Well right now, I could be at home but I have to be here. It's horrible  Lol	love
4920	aahhh! nyc placements have started to come out, but it looks like upgrades have to wait yet another two weeks for placements! dreadfully	hate
4921	@ceichstaedt I guess it'll work under fusion. Otherwise you'll have to boot directly to Vista just to do some online banking, which sucks	worry
4922	MY PUFFFFY IS LEAVINGGGGGGG  NOOOOOOOOO	sadness
4923	I'm going to miss my iMac so much over the next month.	worry
4924	@izzyvideo Izzy!!! So sorry to hear that - what a disaster	sadness
4925	Rainy day today.  No car so we're stuck in the house   I needed to go to the post office too...bastards	sadness
4926	@drford not too good  how are you feeling today?	worry
4927	i really want to see cash cash again	happiness
4928	@awesomeann7 u already took da pic with out me	neutral
4929	thanks gourmetcook! But cold shower wouldn't help.	sadness
4930	I am never going in to town on a sunny friday in half term again. eugh got no electricity	worry
4931	aaah good bye mikee  smoked crabs!	happiness
4932	@liambrazier I only ever seem to listen to Dirty these days. Most of our CD's are still at Greg's parents	neutral
4933	@suziperry @AnnaPhylaxis Oh no matey, did you get ill?  It would be a bit mean of Suzi to be calling you chicken scabs if you're not!	worry
4934	@WillKnott	neutral
4935	@katieeeian143 you're missing the devil wears prada!!!!! sad...	sadness
4936	@Samtagious DAMN! a mass unfollowing and i didnt get the invite! im bummed now	surprise
4937	Sitting in an empty yearbook room.  attempting to figure this asap out lol	neutral
4938	@ian_watkins Oh my gosh ian i always miss you when your on	worry
4939	My hairstylist left the salon without telling me where she was going.   Damn!	sadness
4940	@Blue_Rose *hugs* thanks. I don't know how I'm going to fix this if I'm ever going to get my account back.	worry
4941	@tigerlilyleo lots and lots of red wine...knowing good and well how it has managed to make me sick a few times before	worry
4942	sitting in awe that the price to renew my laptops warranty has doubled in a matter of weeks	neutral
4943	@KatMeyer Hey, is the #beatweetup badge required for tonight? Just realized I left mine at home!	enthusiasm
4944	TGIF, too bad the weather sucks...	sadness
4945	lousy mofo landlord.   need to focus on kid's packing but cant . nevermind sew sleeping bag	hate
4946	figuring out wats wrong with her she can drink but cant eat  ...	worry
4947	is awake.  Still feeling sick.     But I got the blog done at least. http://plurk.com/p/x17t9	relief
4948	is back to revision. Bye bye Hannah  &lt;3	neutral
4949	Sephora is having a 75% off sale. And I'm so broke  Life isn't fair.	worry
4950	ughhhhhhhhhhhh  :/	worry
4951	@skoosie probably not. I hate when that happens!	sadness
4952	Ugh! I can't access through my mobile web!	hate
4953	PSA::::: Being that I've been usuing twiddict- my last 14 tweets have yet to show on the bored. Bare w me.	sadness
4954	@lishreece She has her perfect moments. She just broke one of the tiles on the floor in the hallway. I don't find her very perfect now.	hate
4955	@singlemom75 that's the prob, no idea how to meet guys. Met all my exs online &amp; now I've dated that pool dry	worry
4956	Just paid my bills now I have no money	sadness
4957	@JamesScholes Yes. We have a copyright exemption we're apparently trying to ensure the rest of the world doesn't have.  #sccr18	happiness
4958	@pampian I want to know who is that ??.6  I tried to ask P'KIA but he still not reply me  but now he change his status to 'away'	sadness
4959	Warhammer 40k: Space Marines 'officially' announced, only for 360 and PS3.  No luck for PC gamers	sadness
4960	Waiting patiently to go out tonight....al by my lonesome	worry
4961	nomatter how much i sleep am still tired	boredom
4962	Looking out the window, beautiful blue sky, great forecast for the weekend - not good for cinemas	neutral
4963	@JoeWitless more nightmares?  *huggles*	sadness
4964	ok, back to the dentist today. All I want to do is bask in the sun	worry
4965	ugh back to work today	sadness
4966	@arulnick I tried that but I can only use import/export for contacts saved locally on my Outlook. Thanks Though	neutral
4967	I hate being young	sadness
4968	@Lealala i no its so warm isnt it!! :O My arms are sore  Bad times. My face is a little red too :S	worry
4969	Good mornin &amp; no u tol twitter LOL but I knew &amp; called u yesterday 2 see if u were okay but no answer  how r u feelin babe?	worry
4970	'ss back to the gym project. Finally finished ... Damn filthy hobo's always trying to eat my taco's.  !!   &lt;/3	worry
4971	@Eyglo That's beautiful! Thanks for sharing... My grandpa was recently diagnosed with Alzheimers too....	worry
4972	@RobbieBarnes hmmm they are on offer in Tesco as well but I don't think the wee one next to me will stock them!	neutral
4973	@RichardMadeley Oh, final msg - Why didn't you review my boardgame Bookchaseï¿½ when you were on telly? We didn't even get a nice letter..	sadness
4974	nomatter how much i sleep am still tired  either going to sleep early or late....	worry
4975	Field day.... Gt class...not winning...	sadness
4976	loves florida but misses her american friends	sadness
4977	So far absolutely perfect. Great view, directly across from the elevators and ice machine and impecible weather. I need my bike.	love
4978	oh when will #gfail end? been on HTML version all day	worry
4979	michael scofiled Noooooo !!  I hate the writer, director n production	sadness
4980	@yerex UGH I HATE QUEUEING	hate
4981	Last night was fun w the lightening and thunder  Today will be in the 90s	happiness
4982	I really need to lose weight. Anybody wanna be my exercise-buddy?	worry
4983	@sapauljoseph me too  chrome's popup blocker is better	neutral
4984	Where is Teng?	worry
4985	i love how nice the weather is today and i am camping tonight! oh and i hate my hair	neutral
4986	@iamchrisc pleeease reply !	worry
4987	just missed Paul the ice cream man at work	neutral
4988	is waiting for the estate agent to do valuation. oh joy. *sigh* i need to be in the funhouse  pink baby come back!!!!	surprise
4989	Last quiz of the week. Now back to the grind	neutral
4990	Altona... Wogs, Gota love em.. All I can smell is awsome food and makes me hungry	love
4991	@patrickmanning Yes PM PM you are right	happiness
4992	@workingmoms thanks he got hurt Wednesday and going to vets today	worry
4993	@menchuly it's Friday and sweldo day too	happiness
4994	@herseyd That happened to me once... only I wasn't drunk. lol	worry
4995	@JennyGnow It is sad... I feel bad when I hear it. They look like mid 30's. It's like something u wld see on lifetime	neutral
4996	@1Shan no sir...i woulda put honey...but i don't have any	sadness
4997	@JonathanRKnight so, how long have you been at the airport? can you smoke inside a bar or somehting?  would SUK to do security again, lol	neutral
4998	@YankeeGirl20 besides I haven't had strep for like 10 years because of that reason. I'm more tired than anything else	sadness
4999	Glad to see the sun out in Dublin after a great week in London. Back to work	relief
5000	@the_magician Yes, apnea, but it's not the prob. I'm on meds that might be causing this.  they help otherwise so much, don't want to stop	worry
5001	darn it. I did it again.!  keep forgetting that darn &quot;D&quot; for DM's.....	sadness
5002	@DonnaSpeaks I dont know  I didnt even realize it was gone  let me put it up again...darn twitter!	worry
5003	Wanna know a not fun way to wake up? Having a panic attack and not being able to breath for no fucking reason, that fucking sucked	worry
5004	Up. Showered. Struggling for the drive to get out the door. I'm gloomy. I miss my sway.	worry
5005	my hubby is staying for one more week in Uzbekistan	neutral
5006	@jaceypants well piss on that. I can't get into their site @ work nor does it come thru on my phone.	sadness
5007	ConGrats to all Graduates! Such a Beautiful thing &amp; Big Deal! I wish i cudve attended my lil man Ryan Kdg Graduation..  Feel verY Sad!	worry
5008	@CinemaChic I have the most failures using Lacie drives	sadness
5009	little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!	love
5010	WTF rehearsal  off  got to space and room was booked and the  brothers have stuff right after so we cant transfer to another room studio	empty
